n,seed,dim_restricted,mean_restricted,max_restricted,min_restricted,elapsed_time
2,47,3,0.032406956892223004,0.03526078376424254,0.030089062178674367,0.1508493000001181
2,74,3,0.0010090259944067965,0.002536934708233082,0.00017317184926124313,0.145662099996116
2,25,3,0.00699470628359728,0.011124685466093505,0.0031000294440758185,0.14652829999977257
2,91,3,0.03307911991958651,0.052540881221756555,0.011681749387759304,0.14981640000769403
2,9,3,0.005765375012311269,0.008340144250075286,0.004027814486985155,0.14416480000363663
2,6,3,0.04267397426235763,0.056080868490228204,0.027024814493373437,0.1500959000113653
2,85,3,0.029202003012375813,0.03937538334053827,0.022261853515607527,0.1408713999990141
2,30,3,0.015725283347315613,0.020844576222017703,0.009183448432615286,0.13815559999784455
2,99,3,0.016933842343934736,0.02522508555532435,0.003609154195653817,0.13919020000321325
2,38,3,0.019971257990839507,0.026559240478667805,0.012790859566207518,0.16414909999002703
2,11,3,0.000798809604052666,0.0009468254852305585,0.0007200540231571188,0.16475440000067465
2,30,3,0.015725283347315613,0.020844576222017703,0.009183448432615286,0.138506100003724
2,13,3,0.0006451131601000839,0.0008787892039693909,0.0004848210758599494,0.13551269999879878
2,49,3,0.056435103894044124,0.0737445341898978,0.046908802465514585,0.13551100000040606
2,36,3,0.005607952538231852,0.008203972909007673,0.002844433391416636,0.13986300000397023
2,59,3,7.064568486733461e-05,8.926170116498493e-05,5.850221462281572e-05,0.1366794000059599
2,82,3,0.004783873920309882,0.005149192972870148,0.004265707861574879,0.13777059999119956
2,47,3,0.032406956892223004,0.03526078376424254,0.030089062178674367,0.13854270000592805
2,21,3,0.010093063967268933,0.021070849481514876,0.0010481093857087002,0.13644339999882504
2,48,3,0.07207413677832608,0.08329415077920244,0.06193786692159885,0.13654700000188313
2,46,3,0.006442522822912192,0.011218555159328741,0.002559609288942426,0.13633470000058878
2,27,3,0.008082311811275894,0.023625225974577942,0.00028215490874029103,0.14075240000966005
2,86,3,0.0050660768214545356,0.008624946894723118,0.002320238101387053,0.14160570000240114
2,35,3,0.0012662415489504285,0.001299498508071702,0.001217795963234089,0.13584410000476055
2,90,3,0.04897858521622802,0.09665543998805495,0.02209887973093139,0.1395716000115499
2,88,3,0.0019214664807395393,0.004833867863562131,0.0004286264794169882,0.13882310000190046
2,83,3,0.007801363825528935,0.012883523745585851,0.004660934709319846,0.13724330000695772
2,10,3,0.00224222492277403,0.003049090484370518,0.001574509244904456,0.13634140000795014
2,78,3,0.0006416415852621276,0.0008220929337101779,0.0005100657945067417,0.1357183000072837
2,82,3,0.004783873920309882,0.005149192972870148,0.004265707861574879,0.1404529999999795
2,22,3,0.0066465756463890855,0.009689678715504796,0.0018108076913711166,0.13632479999796487
2,69,3,0.0027101618359243232,0.004829635954325598,0.0011535621686239094,0.1381563000031747
2,94,3,0.004367833751084803,0.005374098140212541,0.0031575925317267133,0.14596310000342783
2,32,3,0.009100112686998006,0.015534105606853501,0.005844500524564461,0.13659110000298824
2,21,3,0.010093063967268933,0.021070849481514876,0.0010481093857087002,0.13726790000509936
3,82,5,1.0446890220923426e-05,1.704908830764207e-05,2.246232522412928e-06,0.2427256000082707
3,15,5,0.0001040644985836666,0.00015201829377686502,6.55914385955506e-05,0.23619810001400765
3,4,5,8.200022069460949e-05,0.00015176109108368783,3.154689847400598e-05,0.23369999999704305
3,95,5,0.00022198673841255755,0.000511689414352568,2.803986403510578e-05,0.23347899998771027
3,36,5,7.318657209077325e-05,0.00021521404761628543,8.794286892591133e-06,0.2335602000093786
3,32,5,1.825029063601213e-05,4.190695825394125e-05,2.0186326907791558e-06,0.24014240001270082
3,29,5,0.00013719081020104978,0.00027001896420435044,7.227715558699729e-06,0.23375699999451172
